2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:08 - Starting SpringThymeleafApplication using Java 17.0.7 with PID 25384 (C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003\target\classes started by fernando.correa in C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003)
2024-07-09 10:51:08 - No active profile set, falling back to 1 default profile: "default"
2024-07-09 10:51:08 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-09 10:51:08 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-09 10:51:09 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-09 10:51:09 - Finished Spring Data repository scanning in 97 ms. Found 15 JPA repository interfaces.
2024-07-09 10:51:10 - Tomcat initialized with port(s): 5001 (http)
2024-07-09 10:51:10 - Initializing ProtocolHandler ["http-nio-5001"]
2024-07-09 10:51:10 - Starting service [Tomcat]
2024-07-09 10:51:10 - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-07-09 10:51:10 - Initializing Spring embedded WebApplicationContext
2024-07-09 10:51:10 - Root WebApplicationContext: initialization completed in 1988 ms
2024-07-09 10:51:10 - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-09 10:51:10 - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-07-09 10:51:10 - HHH000406: Using bytecode reflection optimizer
2024-07-09 10:51:10 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4dd92ac3
2024-07-09 10:51:10 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4dd92ac3
2024-07-09 10:51:10 - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@4dd92ac3
2024-07-09 10:51:10 - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@1a169b36
2024-07-09 10:51:10 - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@1a169b36
2024-07-09 10:51:10 - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@41029dc5
2024-07-09 10:51:10 - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@41029dc5
