2024-06-27 10:02:47 - HV000001: Hibernate Validator 8.0.1.Final
2024-06-27 10:02:47 - Starting SpringThymeleafApplication using Java 17.0.7 with PID 10760 (C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003\target\classes started by fernando.correa in C:\Users\fernando.correa\Documents\GitHub\workspace2023\app-devceasa01.2003)
2024-06-27 10:02:47 - No active profile set, falling back to 1 default profile: "default"
2024-06-27 10:02:47 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-27 10:02:47 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-27 10:02:48 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-27 10:02:48 - Finished Spring Data repository scanning in 62 ms. Found 9 JPA repository interfaces.
2024-06-27 10:02:48 - Tomcat initialized with port(s): 5001 (http)
2024-06-27 10:02:48 - Initializing ProtocolHandler ["http-nio-5001"]
2024-06-27 10:02:48 - Starting service [Tomcat]
2024-06-27 10:02:48 - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-06-27 10:02:49 - Initializing Spring embedded WebApplicationContext
2024-06-27 10:02:49 - Root WebApplicationContext: initialization completed in 1456 ms
2024-06-27 10:02:49 - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-27 10:02:49 - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-06-27 10:02:49 - HHH000406: Using bytecode reflection optimizer
2024-06-27 10:02:49 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@7e906d2f
2024-06-27 10:02:49 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@7e906d2f
2024-06-27 10:02:49 - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@7e906d2f
2024-06-27 10:02:49 - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@38d9308e
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@38d9308e
2024-06-27 10:02:49 - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@27b5a423
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@27b5a423
2024-06-27 10:02:49 - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@439f7ea5
2024-06-27 10:02:49 - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@439f7ea5
